ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NM-031,McKinley County,New Mexico,12.76,0.76,90,12
NM-033,Mora County,New Mexico,18.2,-0.08,65,18.28
NM-035,Otero County,New Mexico,8.75,-4.31,11,13.06
NM-037,Quay County,New Mexico,13.07,-3.25,33,16.32
NM-039,Rio Arriba County,New Mexico,18.05,1.44,88,16.61
NM-041,Roosevelt County,New Mexico,17.88,1.62,84,16.26
NM-043,Sandoval County,New Mexico,12.01,-1.38,47,13.39
NM-045,San Juan County,New Mexico,9.08,-0.42,59,9.5
NM-047,San Miguel County,New Mexico,15.57,-0.89,54,16.46
NM-049,Santa Fe County,New Mexico,15.78,1.06,90,14.72
NM-051,Sierra County,New Mexico,11.59,-0.16,64,11.75
NM-053,Socorro County,New Mexico,11.65,0.04,68,11.61
NM-055,Taos County,New Mexico,19.47,1.67,93,17.8
NM-057,Torrance County,New Mexico,14.69,0.24,71,14.45
NM-059,Union County,New Mexico,15.8,-0.51,62,16.31
NM-061,Valencia County,New Mexico,10.47,0.16,75,10.31
NY-001,Albany County,New York,47.64,10.35,122,37.29
NY-003,Allegany County,New York,38.55,1.55,76,37
NY-005,Bronx County,New York,64.04,18.98,128,45.06
NY-007,Broome County,New York,50.29,11.4,120,38.89
NY-009,Cattaraugus County,New York,41.69,-0.91,50,42.6
NY-011,Cayuga County,New York,43.36,6.37,106,36.99
NY-013,Chautauqua County,New York,42.02,-0.58,58,42.6
NY-015,Chemung County,New York,41.79,7.1,117,34.69
NY-017,Chenango County,New York,50.79,9.78,118,41.01
NY-019,Clinton County,New York,44.05,9.57,121,34.48
NY-021,Columbia County,New York,50.5,10.03,118,40.47
NY-023,Cortland County,New York,47.63,6.55,113,41.08
NY-025,Delaware County,New York,53.13,10.53,119,42.6
NY-027,Dutchess County,New York,56.06,12.49,124,43.57
NY-029,Erie County,New York,40.28,2.03,79,38.25
NY-031,Essex County,New York,52.47,11.51,121,40.96
NY-033,Franklin County,New York,50.32,11.3,124,39.02
NY-035,Fulton County,New York,55.06,9.48,119,45.58
NY-037,Genesee County,New York,36.08,2.09,80,33.99
NY-039,Greene County,New York,52.58,9.77,119,42.81
NY-041,Hamilton County,New York,54.28,7.45,114,46.83
NY-043,Herkimer County,New York,58.14,11.26,126,46.88
NY-045,Jefferson County,New York,51.74,12.95,127,38.79
NY-047,Kings County,New York,62.67,18.21,127,44.46
NY-049,Lewis County,New York,58.82,13.49,127,45.33
NY-051,Livingston County,New York,33.87,1.48,74,32.39
NY-053,Madison County,New York,48.52,8.13,116,40.39
NY-055,Monroe County,New York,33.54,1.63,80,31.91
NY-057,Montgomery County,New York,48.52,9.99,122,38.53
NY-059,Nassau County,New York,60.96,16.41,128,44.55
NY-061,New York County,New York,63.53,18.65,128,44.88
NY-063,Niagara County,New York,33.1,0.83,72,32.27
NY-065,Oneida County,New York,54.17,9.09,118,45.08
NY-067,Onondaga County,New York,44.89,6.4,110,38.49
NY-069,Ontario County,New York,35.92,3.56,94,32.36
NY-071,Orange County,New York,57.85,14.23,124,43.62
NY-073,Orleans County,New York,34.89,2.42,86,32.47
NY-075,Oswego County,New York,49.79,7.72,116,42.07
NY-077,Otsego County,New York,52.2,10.81,123,41.39
NY-079,Putnam County,New York,62.94,16.21,126,46.74
NY-081,Queens County,New York,63.25,18.98,128,44.27
NY-083,Rensselaer County,New York,49.23,9.99,117,39.24
NY-085,Richmond County,New York,62.39,16.8,127,45.6
NY-087,Rockland County,New York,63.53,16.81,127,46.72
NY-089,St. Lawrence County,New York,48.69,10.24,125,38.45
NY-091,Saratoga County,New York,49.46,8.45,117,41.01
NY-093,Schenectady County,New York,47.14,10.04,121,37.1
NY-095,Schoharie County,New York,47.68,9.04,121,38.64
NY-097,Schuyler County,New York,38.59,4.86,100,33.73
NY-099,Seneca County,New York,38.02,4.6,100,33.42
NY-101,Steuben County,New York,37.7,3.37,91,34.33
NY-103,Suffolk County,New York,56.49,11.98,122,44.51
NY-105,Sullivan County,New York,59.21,13.62,124,45.59
NY-107,Tioga County,New York,46.29,9.35,118,36.94
NY-109,Tompkins County,New York,41.58,4.97,101,36.61
NY-111,Ulster County,New York,60.38,13.15,122,47.23
NY-113,Warren County,New York,50.18,8.22,117,41.96
NY-115,Washington County,New York,43.2,5.34,104,37.86
NY-117,Wayne County,New York,35.76,1.62,77,34.14
NY-119,Westchester County,New York,64.28,17.24,127,47.04
NY-121,Wyoming County,New York,37.63,0.56,62,37.07
NY-123,Yates County,New York,35.3,3.21,95,32.09
NC-001,Alamance County,North Carolina,54.86,9.73,116,45.13
NC-003,Alexander County,North Carolina,49.69,2.41,77,47.28
NC-005,Alleghany County,North Carolina,51.42,0.45,66,50.97
NC-007,Anson County,North Carolina,53.77,8.03,108,45.74
NC-009,Ashe County,North Carolina,52.12,1.23,72,50.89
NC-011,Avery County,North Carolina,50.21,-4.66,37,54.87
NC-013,Beaufort County,North Carolina,55.06,3.41,95,51.65
NC-015,Bertie County,North Carolina,51.84,3,88,48.84
NC-017,Bladen County,North Carolina,53.03,4.97,99,48.06
NC-019,Brunswick County,North Carolina,58.28,6.36,100,51.92
NC-021,Buncombe County,North Carolina,46.32,-1.74,57,48.06
NC-023,Burke County,North Carolina,51.64,1.11,74,50.53
NC-025,Cabarrus County,North Carolina,49.64,3.52,93,46.12
NC-027,Caldwell County,North Carolina,51.65,0.11,66,51.54
NC-029,Camden County,North Carolina,55.58,7.54,109,48.04
NC-031,Carteret County,North Carolina,60.67,5.4,99,55.27
NC-033,Caswell County,North Carolina,50.2,6.67,105,43.53
NC-035,Catawba County,North Carolina,50.84,3.11,87,47.73
NC-037,Chatham County,North Carolina,52.51,6.34,105,46.17
NC-039,Cherokee County,North Carolina,49.43,-10.15,17,59.58
NC-041,Chowan County,North Carolina,55.38,5.78,100,49.6
NC-043,Clay County,North Carolina,52.94,-8.44,23,61.38
NC-045,Cleveland County,North Carolina,50.6,1.34,77,49.26
NC-047,Columbus County,North Carolina,55.61,6.11,106,49.5
NC-049,Craven County,North Carolina,57.58,4.51,99,53.07
NC-051,Cumberland County,North Carolina,47.42,0.41,74,47.01
NC-053,Currituck County,North Carolina,54.26,6.65,107,47.61
NC-055,Dare County,North Carolina,54.3,3.27,94,51.03
NC-057,Davidson County,North Carolina,48.3,2.52,84,45.78
NC-059,Davie County,North Carolina,44.19,-1.25,61,45.44
NC-061,Duplin County,North Carolina,54.21,3.69,90,50.52
NC-063,Durham County,North Carolina,53.79,9.27,113,44.52
NC-065,Edgecombe County,North Carolina,49.49,2.18,88,47.31
NC-067,Forsyth County,North Carolina,47.73,3.06,84,44.67
NC-069,Franklin County,North Carolina,54.27,8.34,111,45.93
NC-071,Gaston County,North Carolina,53.23,5.72,101,47.51
NC-073,Gates County,North Carolina,54.18,5.79,103,48.39
NC-075,Graham County,North Carolina,48.03,-15.55,9,63.58
NC-077,Granville County,North Carolina,54.37,9.71,117,44.66
NC-079,Greene County,North Carolina,50.95,2.14,85,48.82
NC-081,Guilford County,North Carolina,53.34,8.61,114,44.73
NC-083,Halifax County,North Carolina,50.57,4.68,97,45.89
NC-085,Harnett County,North Carolina,49.44,2.48,92,46.96
NC-087,Haywood County,North Carolina,48.96,-6.21,26,55.17
NC-089,Henderson County,North Carolina,55.44,-2.99,58,58.43
NC-091,Hertford County,North Carolina,50.75,2.42,85,48.33
NC-093,Hoke County,North Carolina,49.29,2.42,91,46.87
NC-095,Hyde County,North Carolina,55.25,2.83,90,52.42
NC-097,Iredell County,North Carolina,49.46,2.68,84,46.78
NC-099,Jackson County,North Carolina,53.45,-9.45,25,62.9
NC-101,Johnston County,North Carolina,48.33,1.32,82,47.01
NC-103,Jones County,North Carolina,56.36,3.7,90,52.66
NC-105,Lee County,North Carolina,48.32,1.94,86,46.38
NC-107,Lenoir County,North Carolina,52.3,2.17,79,50.13
NC-109,Lincoln County,North Carolina,52.15,4.37,91,47.78
NC-111,McDowell County,North Carolina,54.36,-0.74,64,55.1
NC-113,Macon County,North Carolina,53.09,-10.44,19,63.53
NC-115,Madison County,North Carolina,45.23,-0.55,55,45.78
NC-117,Martin County,North Carolina,50.76,1.81,82,48.95
NC-119,Mecklenburg County,North Carolina,50.45,4.49,102,45.96
NC-121,Mitchell County,North Carolina,49.56,-1.42,55,50.98
NC-123,Montgomery County,North Carolina,51.63,5.01,98,46.62
NC-125,Moore County,North Carolina,46.71,-0.38,70,47.09
NC-127,Nash County,North Carolina,50.48,3.54,97,46.94
NC-129,New Hanover County,North Carolina,56.4,3.28,85,53.12
NC-131,Northampton County,North Carolina,50.77,4.56,95,46.21
NC-133,Onslow County,North Carolina,56.85,3.1,83,53.75
NC-135,Orange County,North Carolina,54.49,9.64,115,44.85
NC-137,Pamlico County,North Carolina,58.44,4.5,99,53.94
NC-139,Pasquotank County,North Carolina,56.13,7.5,108,48.63
NC-141,Pender County,North Carolina,56.18,4.02,90,52.16
NC-143,Perquimans County,North Carolina,56.07,6.76,107,49.31
NC-145,Person County,North Carolina,52.72,8.81,117,43.91
NC-147,Pitt County,North Carolina,51.82,2.61,83,49.21
NC-149,Polk County,North Carolina,53.83,-3.84,48,57.67
NC-151,Randolph County,North Carolina,54.01,7.71,109,46.3
NC-153,Richmond County,North Carolina,51.93,5.21,98,46.72
NC-155,Robeson County,North Carolina,50.49,4.89,99,45.6
NC-157,Rockingham County,North Carolina,46.51,2.6,83,43.91
NC-159,Rowan County,North Carolina,47.05,0.45,76,46.6
NC-161,Rutherford County,North Carolina,50.75,-0.69,67,51.44
NC-163,Sampson County,North Carolina,51.19,2.93,86,48.26
NC-165,Scotland County,North Carolina,51.28,5.1,100,46.18
NC-167,Stanly County,North Carolina,53.96,7.6,109,46.36
NC-169,Stokes County,North Carolina,47.56,1.67,75,45.89
NC-171,Surry County,North Carolina,49.97,2.39,75,47.58
NC-173,Swain County,North Carolina,51.48,-12.02,13,63.5
NC-175,Transylvania County,North Carolina,63.25,-6.65,40,69.9
NC-177,Tyrrell County,North Carolina,56.16,5.22,101,50.94
NC-179,Union County,North Carolina,51.58,6.8,104,44.78
NC-181,Vance County,North Carolina,56.1,11.38,119,44.72
NC-183,Wake County,North Carolina,51.57,5.78,101,45.79
NC-185,Warren County,North Carolina,53.69,9.15,115,44.54
NC-187,Washington County,North Carolina,55.73,5.1,97,50.63
NC-189,Watauga County,North Carolina,50.96,-1.85,50,52.81
NC-191,Wayne County,North Carolina,49.83,1.52,85,48.31
NC-193,Wilkes County,North Carolina,50.35,0.57,68,49.78
NC-195,Wilson County,North Carolina,49.75,2.4,90,47.35
NC-197,Yadkin County,North Carolina,46.21,0.95,72,45.26
NC-199,Yancey County,North Carolina,50.76,-1.15,58,51.91
ND-001,Adams County,North Dakota,14.31,-1.6,37,15.91
ND-003,Barnes County,North Dakota,24.75,5.1,114,19.65
ND-005,Benson County,North Dakota,25.2,7.97,127,17.23
ND-007,Billings County,North Dakota,14.32,-1.09,50,15.41
ND-009,Bottineau County,North Dakota,18.09,1.72,86,16.37
ND-011,Bowman County,North Dakota,13.23,-1.65,38,14.88
ND-013,Burke County,North Dakota,13.92,-2.45,32,16.37
ND-015,Burleigh County,North Dakota,20.48,3.85,111,16.63
ND-017,Cass County,North Dakota,25.61,5.35,113,20.26
ND-019,Cavalier County,North Dakota,23.57,4.56,113,19.01
ND-021,Dickey County,North Dakota,23.21,3,96,20.21
ND-023,Divide County,North Dakota,11.23,-3.86,16,15.09
ND-025,Dunn County,North Dakota,16.13,-0.37,63,16.5
ND-027,Eddy County,North Dakota,24.29,6.29,124,18
ND-029,Emmons County,North Dakota,20.35,3.24,103,17.11
ND-031,Foster County,North Dakota,23.98,5.6,119,18.38
ND-033,Golden Valley County,North Dakota,14.19,-0.66,53,14.85
ND-035,Grand Forks County,North Dakota,25.88,6.52,124,19.36
ND-037,Grant County,North Dakota,16.99,0.25,67,16.74
ND-039,Griggs County,North Dakota,25.51,6.58,120,18.93
ND-041,Hettinger County,North Dakota,15.53,-0.89,55,16.42
ND-043,Kidder County,North Dakota,23.61,6.4,122,17.21
ND-045,LaMoure County,North Dakota,24.03,4.35,109,19.68
ND-047,Logan County,North Dakota,22.68,4.73,110,17.95
ND-049,McHenry County,North Dakota,18.06,1.67,83,16.39
ND-051,McIntosh County,North Dakota,18.62,0.44,62,18.18
ND-053,McKenzie County,North Dakota,15.86,0.64,72,15.22
ND-055,McLean County,North Dakota,17.67,1.33,84,16.34
ND-057,Mercer County,North Dakota,17.43,1.19,83,16.24
ND-059,Morton County,North Dakota,17.98,1.38,83,16.6
ND-061,Mountrail County,North Dakota,15.96,-0.05,62,16.01
ND-063,Nelson County,North Dakota,26.06,7.39,125,18.67
ND-065,Oliver County,North Dakota,17.31,0.52,74,16.79
ND-067,Pembina County,North Dakota,22.78,3.43,102,19.35
ND-069,Pierce County,North Dakota,20.89,4.16,112,16.73
ND-071,Ramsey County,North Dakota,26.94,9.46,128,17.48
ND-073,Ransom County,North Dakota,26.26,5.78,114,20.48
ND-075,Renville County,North Dakota,13.78,-2.38,32,16.16
ND-077,Richland County,North Dakota,29.31,8.13,125,21.18
ND-079,Rolette County,North Dakota,19.79,2.14,92,17.65
ND-081,Sargent County,North Dakota,26.17,5.59,112,20.58
ND-083,Sheridan County,North Dakota,21.03,3.66,111,17.37
ND-085,Sioux County,North Dakota,18.39,1.53,83,16.86
ND-087,Slope County,North Dakota,14.33,-1.08,54,15.41
ND-089,Stark County,North Dakota,15.97,-0.52,62,16.49
ND-091,Steele County,North Dakota,24.66,5.38,113,19.28
ND-093,Stutsman County,North Dakota,24.55,6.06,122,18.49
ND-095,Towner County,North Dakota,21.99,4.12,114,17.87
ND-097,Traill County,North Dakota,24.89,4.98,111,19.91
ND-099,Walsh County,North Dakota,24.57,5.89,117,18.68
ND-101,Ward County,North Dakota,15.1,-1.39,48,16.49
ND-103,Wells County,North Dakota,22.31,4.43,120,17.88
ND-105,Williams County,North Dakota,14.47,-0.32,61,14.79
OH-001,Adams County,Ohio,40.02,-2.93,41,42.95
OH-003,Allen County,Ohio,35.52,0.3,59,35.22
OH-005,Ashland County,Ohio,31.84,-5.29,14,37.13
OH-007,Ashtabula County,Ohio,35.69,-3.92,27,39.61
OH-009,Athens County,Ohio,31.59,-8.55,5,40.14
OH-011,Auglaize County,Ohio,34.77,-1.26,46,36.03
OH-013,Belmont County,Ohio,40.09,-0.75,56,40.84
OH-015,Brown County,Ohio,40.34,-3.12,38,43.46
OH-017,Butler County,Ohio,38.02,-2.55,43,40.57
OH-019,Carroll County,Ohio,36.12,-2.68,29,38.8
OH-021,Champaign County,Ohio,35.02,-2.9,30,37.92
OH-023,Clark County,Ohio,34.36,-4.31,26,38.67
OH-025,Clermont County,Ohio,41.42,-1.41,51,42.83
OH-027,Clinton County,Ohio,35.45,-6.75,14,42.2
OH-029,Columbiana County,Ohio,40.13,2.2,83,37.93
OH-031,Coshocton County,Ohio,36.69,-2.15,38,38.84
OH-033,Crawford County,Ohio,33.63,-3.84,20,37.47
OH-035,Cuyahoga County,Ohio,32.52,-3.34,28,35.86
OH-037,Darke County,Ohio,36.34,-1.54,43,37.88
OH-039,Defiance County,Ohio,35,1.26,74,33.74
OH-041,Delaware County,Ohio,33.29,-4.67,20,37.96
OH-043,Erie County,Ohio,34.49,-0.03,56,34.52
OH-045,Fairfield County,Ohio,33.31,-6.45,13,39.76
OH-047,Fayette County,Ohio,32.47,-6.97,13,39.44
OH-049,Franklin County,Ohio,33.46,-4.85,20,38.31
OH-051,Fulton County,Ohio,32.78,-0.6,53,33.38
OH-053,Gallia County,Ohio,33.35,-7.9,7,41.25
OH-055,Geauga County,Ohio,37.81,-0.82,48,38.63
OH-057,Greene County,Ohio,33.43,-6.25,16,39.68
OH-059,Guernsey County,Ohio,33.79,-5.59,18,39.38
OH-061,Hamilton County,Ohio,39.31,-1.56,47,40.87
OH-063,Hancock County,Ohio,33.54,-1.32,44,34.86
OH-065,Hardin County,Ohio,31.2,-4.27,19,35.47
OH-067,Harrison County,Ohio,36.53,-2.93,35,39.46
OH-069,Henry County,Ohio,35.01,1.22,69,33.79
OH-071,Highland County,Ohio,37.5,-5.03,22,42.53
OH-073,Hocking County,Ohio,33.47,-6.88,12,40.35
OH-075,Holmes County,Ohio,36.78,-1.4,46,38.18
OH-077,Huron County,Ohio,33.66,-2.39,31,36.05
OH-079,Jackson County,Ohio,36.31,-4.91,24,41.22
OH-081,Jefferson County,Ohio,37.26,-1.57,46,38.83
OH-083,Knox County,Ohio,37.46,-1.94,39,39.4
OH-085,Lake County,Ohio,36.04,-1.47,43,37.51
OH-087,Lawrence County,Ohio,36.38,-5.63,21,42.01
OH-089,Licking County,Ohio,35.95,-3.75,30,39.7
OH-091,Logan County,Ohio,33.48,-3.07,30,36.55
OH-093,Lorain County,Ohio,33.18,-1.55,38,34.73
OH-095,Lucas County,Ohio,34.19,1.84,81,32.35
OH-097,Madison County,Ohio,31.97,-5.94,16,37.91
OH-099,Mahoning County,Ohio,38.91,1.72,73,37.19
OH-101,Marion County,Ohio,30.59,-5.9,14,36.49
OH-103,Medina County,Ohio,31.64,-4.47,19,36.11
OH-105,Meigs County,Ohio,32.16,-8.45,4,40.61
OH-107,Mercer County,Ohio,35.56,-0.95,52,36.51
OH-109,Miami County,Ohio,35.13,-2.55,36,37.68
OH-111,Monroe County,Ohio,42.34,0,59,42.34
OH-113,Montgomery County,Ohio,35.25,-3.66,32,38.91
OH-115,Morgan County,Ohio,32.91,-6.81,15,39.72
OH-117,Morrow County,Ohio,35.15,-3.98,21,39.13
OH-119,Muskingum County,Ohio,33.74,-5.35,21,39.09
OH-121,Noble County,Ohio,34.11,-6.46,16,40.57
OH-123,Ottawa County,Ohio,31.88,-0.97,46,32.85
OH-125,Paulding County,Ohio,35.65,1.39,71,34.26
OH-127,Perry County,Ohio,35.15,-4.29,26,39.44
OH-129,Pickaway County,Ohio,32.21,-7.05,11,39.26
OH-131,Pike County,Ohio,38.32,-2.6,40,40.92
OH-133,Portage County,Ohio,35.91,-1.18,44,37.09
OH-135,Preble County,Ohio,41.79,2.28,74,39.51
OH-137,Putnam County,Ohio,35.12,0.81,65,34.31
OH-139,Richland County,Ohio,32.23,-5.86,13,38.09
OH-141,Ross County,Ohio,34.65,-5.56,18,40.21
OH-143,Sandusky County,Ohio,32.72,-1.03,43,33.75
OH-145,Scioto County,Ohio,38.22,-3.59,32,41.81
OH-147,Seneca County,Ohio,33.17,-2.3,32,35.47
OH-149,Shelby County,Ohio,34.66,-2.39,38,37.05
OH-151,Stark County,Ohio,33.67,-3.71,24,37.38
OH-153,Summit County,Ohio,31.11,-5.07,17,36.18
OH-155,Trumbull County,Ohio,39.75,2,73,37.75
OH-157,Tuscarawas County,Ohio,34.71,-3.81,25,38.52
OH-159,Union County,Ohio,32.55,-3.8,25,36.35
OH-161,Van Wert County,Ohio,35.83,0.7,64,35.13
OH-163,Vinton County,Ohio,33.95,-6.74,12,40.69
OH-165,Warren County,Ohio,35.94,-5.6,16,41.54
OH-167,Washington County,Ohio,36.29,-4.54,27,40.83
OH-169,Wayne County,Ohio,31.82,-4.7,15,36.52
OH-171,Williams County,Ohio,33.58,-0.4,53,33.98
OH-173,Wood County,Ohio,34.28,0.9,66,33.38
OH-175,Wyandot County,Ohio,32.21,-3.37,26,35.58
OK-001,Adair County,Oklahoma,48.31,3.13,79,45.18
OK-003,Alfalfa County,Oklahoma,29.28,1.79,82,27.49
OK-005,Atoka County,Oklahoma,46.44,3.12,85,43.32
OK-007,Beaver County,Oklahoma,23.56,3.09,94,20.47
OK-009,Beckham County,Oklahoma,23.25,-1.35,56,24.6
OK-011,Blaine County,Oklahoma,26.27,-2.22,50,28.49
OK-013,Bryan County,Oklahoma,47.36,6.59,95,40.77
OK-015,Caddo County,Oklahoma,30.85,0.52,72,30.33
OK-017,Canadian County,Oklahoma,33.76,3.02,90,30.74
OK-019,Carter County,Oklahoma,42.89,6.35,98,36.54
OK-021,Cherokee County,Oklahoma,46.82,3.2,84,43.62
OK-023,Choctaw County,Oklahoma,46.96,1.69,75,45.27
OK-025,Cimarron County,Oklahoma,16.87,0.35,69,16.52
OK-027,Cleveland County,Oklahoma,36.63,1.87,73,34.76
OK-029,Coal County,Oklahoma,45.86,4.44,88,41.42
OK-031,Comanche County,Oklahoma,31.51,1.57,79,29.94
OK-033,Cotton County,Oklahoma,33.3,3.34,90,29.96
OK-035,Craig County,Oklahoma,39.47,-2.68,49,42.15
OK-037,Creek County,Oklahoma,38.7,1.15,78,37.55
OK-039,Custer County,Oklahoma,24.71,-1.95,51,26.66
OK-041,Delaware County,Oklahoma,45.21,1.56,71,43.65
OK-043,Dewey County,Oklahoma,24.29,-2.11,47,26.4
OK-045,Ellis County,Oklahoma,22.13,-1.3,51,23.43
OK-047,Garfield County,Oklahoma,27.99,-2.54,48,30.53
OK-049,Garvin County,Oklahoma,40.7,4.84,97,35.86
OK-051,Grady County,Oklahoma,33.57,1.13,77,32.44
OK-053,Grant County,Oklahoma,29.27,-0.46,63,29.73
OK-055,Greer County,Oklahoma,22.17,-3.13,44,25.3
OK-057,Harmon County,Oklahoma,21.48,-2.74,53,24.22
OK-059,Harper County,Oklahoma,23.87,0.68,77,23.19
OK-061,Haskell County,Oklahoma,50.86,6.58,101,44.28
OK-063,Hughes County,Oklahoma,49.65,8.54,105,41.11
OK-065,Jackson County,Oklahoma,23.85,-1.59,58,25.44
OK-067,Jefferson County,Oklahoma,38.36,5.79,97,32.57
OK-069,Johnston County,Oklahoma,45.92,6.35,95,39.57
OK-071,Kay County,Oklahoma,33.45,0.22,67,33.23
OK-073,Kingfisher County,Oklahoma,31.31,2.1,81,29.21
OK-075,Kiowa County,Oklahoma,26.65,-0.79,58,27.44
OK-077,Latimer County,Oklahoma,51.13,4.48,87,46.65
OK-079,Le Flore County,Oklahoma,51.18,3.83,86,47.35
OK-081,Lincoln County,Oklahoma,34.93,-0.89,57,35.82
OK-083,Logan County,Oklahoma,32.08,0.45,70,31.63
OK-085,Love County,Oklahoma,42.8,6.93,101,35.87
OK-087,McClain County,Oklahoma,36.88,2.37,83,34.51
OK-089,McCurtain County,Oklahoma,53.69,4.21,88,49.48
OK-091,McIntosh County,Oklahoma,47.98,6.13,95,41.85
OK-093,Major County,Oklahoma,24.87,-2.7,44,27.57
OK-095,Marshall County,Oklahoma,45.74,7.25,95,38.49
OK-097,Mayes County,Oklahoma,43.95,1.94,78,42.01
OK-099,Murray County,Oklahoma,43.51,5.36,96,38.15
OK-101,Muskogee County,Oklahoma,45.76,3.43,83,42.33
OK-103,Noble County,Oklahoma,30.41,-2.76,50,33.17
OK-105,Nowata County,Oklahoma,34.43,-5.06,33,39.49
OK-107,Okfuskee County,Oklahoma,44.21,5.61,93,38.6
OK-109,Oklahoma County,Oklahoma,33.89,0.93,73,32.96
OK-111,Okmulgee County,Oklahoma,43.28,3.53,86,39.75
OK-113,Osage County,Oklahoma,34.22,-1.79,56,36.01
OK-115,Ottawa County,Oklahoma,40.36,-2.05,49,42.41
OK-117,Pawnee County,Oklahoma,33.43,-1.8,58,35.23
OK-119,Payne County,Oklahoma,30.74,-3.71,44,34.45
OK-121,Pittsburg County,Oklahoma,50.45,5.93,98,44.52
OK-123,Pontotoc County,Oklahoma,44.86,5.43,91,39.43
OK-125,Pottawatomie County,Oklahoma,41.25,4.8,96,36.45
OK-127,Pushmataha County,Oklahoma,48.25,-0.25,70,48.5
OK-129,Roger Mills County,Oklahoma,23.26,-1.36,55,24.62
OK-131,Rogers County,Oklahoma,41.67,2.12,80,39.55
OK-133,Seminole County,Oklahoma,47.45,9.27,110,38.18
OK-135,Sequoyah County,Oklahoma,52.29,7.41,98,44.88
OK-137,Stephens County,Oklahoma,37.35,4.34,94,33.01
OK-139,Texas County,Oklahoma,22.36,4.2,110,18.16
OK-141,Tillman County,Oklahoma,28.03,1.02,76,27.01
OK-143,Tulsa County,Oklahoma,42.13,3.67,88,38.46
OK-145,Wagoner County,Oklahoma,43.44,2.46,83,40.98
OK-147,Washington County,Oklahoma,31.64,-6.16,26,37.8
OK-149,Washita County,Oklahoma,25.96,-1.04,62,27
OK-151,Woods County,Oklahoma,27.08,1.31,75,25.77
OK-153,Woodward County,Oklahoma,24.83,-0.15,64,24.98
OR-001,Baker County,Oregon,18.95,-2.17,38,21.12
OR-003,Benton County,Oregon,64.93,6.8,99,58.13
OR-005,Clackamas County,Oregon,76.19,1.89,73,74.3
OR-007,Clatsop County,Oregon,92.05,2.95,78,89.1
OR-009,Columbia County,Oregon,57.99,1.59,72,56.4
OR-011,Coos County,Oregon,77.66,8.85,98,68.81
OR-013,Crook County,Oregon,13.6,-1.06,59,14.66
OR-015,Curry County,Oregon,100.41,14.35,105,86.06
OR-017,Deschutes County,Oregon,22.01,-1.62,57,23.63
OR-019,Douglas County,Oregon,56.18,2.94,90,53.24
OR-021,Gilliam County,Oregon,12.13,0.92,89,11.21
OR-023,Grant County,Oregon,20.77,0.02,67,20.75
OR-025,Harney County,Oregon,12.58,-0.25,66,12.83
OR-027,Hood River County,Oregon,59.91,1.49,70,58.42
OR-029,Jackson County,Oregon,34.85,-1.96,60,36.81
OR-031,Jefferson County,Oregon,19.26,0.92,84,18.34
OR-033,Josephine County,Oregon,56.68,2.36,83,54.32
OR-035,Klamath County,Oregon,25.26,-1.8,57,27.06
OR-037,Lake County,Oregon,11.23,-3.17,25,14.4
OR-039,Lane County,Oregon,68.19,4.24,89,63.95
OR-041,Lincoln County,Oregon,98.96,9.11,98,89.85
OR-043,Linn County,Oregon,72.7,3.15,87,69.55
OR-045,Malheur County,Oregon,13.77,1.22,86,12.55
OR-047,Marion County,Oregon,67.59,4.05,89,63.54
OR-049,Morrow County,Oregon,15.85,1.76,98,14.09
OR-051,Multnomah County,Oregon,66.8,4.37,90,62.43
OR-053,Polk County,Oregon,72.6,5.95,94,66.65
OR-055,Sherman County,Oregon,13.64,0.51,82,13.13
OR-057,Tillamook County,Oregon,110.82,9.71,95,101.11
OR-059,Umatilla County,Oregon,20.71,0.33,72,20.38
OR-061,Union County,Oregon,26.61,-2.12,42,28.73
OR-063,Wallowa County,Oregon,23.59,-3.83,24,27.42
OR-065,Wasco County,Oregon,21.07,0.9,81,20.17
OR-067,Washington County,Oregon,60.17,4.43,94,55.74
OR-069,Wheeler County,Oregon,15.49,-0.53,64,16.02
OR-071,Yamhill County,Oregon,64.59,3.72,89,60.87
PA-001,Adams County,Pennsylvania,46.77,4.5,98,42.27
PA-003,Allegheny County,Pennsylvania,41.83,3.46,95,38.37
PA-005,Armstrong County,Pennsylvania,46.58,4.38,101,42.2
PA-007,Beaver County,Pennsylvania,43.08,5.05,106,38.03
PA-009,Bedford County,Pennsylvania,44.41,6.28,110,38.13
PA-011,Berks County,Pennsylvania,52.93,8.71,115,44.22
PA-013,Blair County,Pennsylvania,48.49,8.88,119,39.61
PA-015,Bradford County,Pennsylvania,46.37,9.48,120,36.89
PA-017,Bucks County,Pennsylvania,53.36,7.88,110,45.48
PA-019,Butler County,Pennsylvania,44.13,3.43,94,40.7
PA-021,Cambria County,Pennsylvania,49.68,6.21,106,43.47
PA-023,Cameron County,Pennsylvania,47.61,6.35,115,41.26
PA-025,Carbon County,Pennsylvania,59.47,10.94,115,48.53
PA-027,Centre County,Pennsylvania,50.22,9.31,118,40.91
PA-029,Chester County,Pennsylvania,53.56,8.68,110,44.88
PA-031,Clarion County,Pennsylvania,47.08,3.95,100,43.13
PA-033,Clearfield County,Pennsylvania,47.99,5.84,113,42.15
PA-035,Clinton County,Pennsylvania,51.11,10.55,121,40.56
PA-037,Columbia County,Pennsylvania,51.05,8.58,112,42.47
PA-039,Crawford County,Pennsylvania,40.85,-1.94,43,42.79
